tag,date,hour_ending,load_mw
D,07/27/2026,6,11823.58
D,07/27/2026,7,11972.47
D,07/27/2026,8,11673.58
D,07/27/2026,9,11200.65
D,07/27/2026,10,11058.63
D,07/27/2026,11,11575.87
D,07/27/2026,12,12133.47
D,07/27/2026,13,12844.32
D,07/27/2026,14,13494.05
D,07/27/2026,15,14480.62
D,07/27/2026,16,15834.34
D,07/27/2026,17,17176.96
D,07/27/2026,18,18086.85
D,07/27/2026,19,18057.25
D,07/27/2026,20,17770.42
D,07/27/2026,21,16950.53
D,07/27/2026,22,15661.75
D,07/27/2026,23,14326.46
D,07/28/2026,0,13398.26
D,07/28/2026,1,13411.92
D,07/28/2026,2,13071.79
D,07/28/2026,3,12943.3
D,07/28/2026,4,13088.82
D,07/28/2026,5,13176.99
D,07/28/2026,6,13583.58
D,07/28/2026,7,14258.14
D,07/28/2026,8,14265.95
D,07/28/2026,9,14257.78
D,07/28/2026,10,14297.77
D,07/28/2026,11,14571.15
D,07/28/2026,12,15063.03
D,07/28/2026,13,15886.6
D,07/28/2026,14,16621.68
D,07/28/2026,15,17095.24
D,07/28/2026,16,17465.9
D,07/28/2026,17,18025.66
D,07/28/2026,18,18166.51
D,07/28/2026,19,17975.11
D,07/28/2026,20,17732.37
D,07/28/2026,21,17005.03
D,07/28/2026,22,15793.82
D,07/28/2026,23,14559.11
D,07/29/2026,0,13651.83
D,07/29/2026,1,13837.44
D,07/29/2026,2,13509.48
D,07/29/2026,3,13488.38
D,07/29/2026,4,13558.02
D,07/29/2026,5,13860.12
D,07/29/2026,6,14063.37
D,07/29/2026,7,14820.57
D,07/29/2026,8,15143.96
D,07/29/2026,9,15374.96
D,07/29/2026,10,15436.93
D,07/29/2026,11,15306.48
D,07/29/2026,12,15202.8
D,07/29/2026,13,15267.0
D,07/29/2026,14,15258.57
D,07/29/2026,15,15518.1
D,07/29/2026,16,16058.85
D,07/29/2026,17,16524.42
D,07/29/2026,18,16547.17
D,07/29/2026,19,16362.63
D,07/29/2026,20,16076.92
D,07/29/2026,21,15467.67
D,07/29/2026,22,14451.96
D,07/29/2026,23,13629.3
D,07/30/2026,0,12675.67
D,07/30/2026,1,12652.46
D,07/30/2026,2,12689.22
D,07/30/2026,3,12682.74
D,07/30/2026,4,12797.67
D,07/30/2026,5,12972.59
D,07/30/2026,6,13048.36
D,07/30/2026,7,13711.61
D,07/30/2026,8,14101.69
D,07/30/2026,9,14192.2
D,07/30/2026,10,14373.83
D,07/30/2026,11,14354.55
D,07/30/2026,12,14000.43
D,07/30/2026,13,14081.9
D,07/30/2026,14,14231.47
D,07/30/2026,15,14624.79
D,07/30/2026,16,15000.92
D,07/30/2026,17,15626.98
D,07/30/2026,18,15950.76
D,07/30/2026,19,15989.52
D,07/30/2026,20,15903.48
D,07/30/2026,21,15313.3
D,07/30/2026,22,14278.03
D,07/30/2026,23,13176.4
D,07/31/2026,0,12362.17
D,07/31/2026,1,12287.96
D,07/31/2026,2,12013.83
D,07/31/2026,3,12011.61
D,07/31/2026,4,12122.24
D,07/31/2026,5,12312.16
D,07/31/2026,6,12419.11
D,07/31/2026,7,12719.72
D,07/31/2026,8,12887.35
D,07/31/2026,9,12674.27
D,07/31/2026,10,12491.9
D,07/31/2026,11,13017.78
D,07/31/2026,12,13705.73
D,07/31/2026,13,14117.06
D,07/31/2026,14,14517.3
D,07/31/2026,15,15016.25
D,07/31/2026,16,15892.32
D,07/31/2026,17,16927.74
D,07/31/2026,18,17435.42
D,07/31/2026,19,17442.59
D,07/31/2026,20,17253.38
D,07/31/2026,21,16585.69
D,07/31/2026,22,15464.09
D,07/31/2026,23,14287.24
D,08/01/2026,0,13501.22
D,08/01/2026,1,12933.06
D,08/01/2026,2,12639.0
D,08/01/2026,3,12530.06
D,08/01/2026,4,12414.84
D,08/01/2026,5,12741.29
D,08/01/2026,6,12780.86
D,08/01/2026,7,12931.97
D,08/01/2026,8,12921.7
D,08/01/2026,9,12627.55
D,08/01/2026,10,12684.77
D,08/01/2026,11,13093.74
D,08/01/2026,12,13943.3
D,08/01/2026,13,14680.47
D,08/01/2026,14,15269.49
D,08/01/2026,15,15887.41
D,08/01/2026,16,17040.98
D,08/01/2026,17,18285.06
D,08/01/2026,18,18689.92
D,08/01/2026,19,18484.9
D,08/01/2026,20,18311.69
D,08/01/2026,21,17593.61
D,08/01/2026,22,16534.88
D,08/01/2026,23,15381.94
D,08/02/2026,0,14475.78
D,08/02/2026,1,13758.52
D,08/02/2026,2,13711.67
D,08/02/2026,3,13615.27
D,08/02/2026,4,13901.39
D,08/02/2026,5,14039.09
D,08/02/2026,6,14089.48
D,08/02/2026,7,14034.03
D,08/02/2026,8,14109.18
D,08/02/2026,9,14109.97
D,08/02/2026,10,13890.22
D,08/02/2026,11,14414.23
D,08/02/2026,12,14859.94
D,08/02/2026,13,15461.46
D,08/02/2026,14,16147.66
D,08/02/2026,15,16936.0
D,08/02/2026,16,17749.11
D,08/02/2026,17,18586.36
D,08/02/2026,18,18959.52
D,08/02/2026,19,18865.96
D,08/02/2026,20,18719.66
D,08/02/2026,21,17918.01
D,08/02/2026,22,16775.69
D,08/02/2026,23,15890.32
D,08/03/2026,0,15114.04
D,08/03/2026,1,15063.26
D,08/03/2026,2,14914.24
D,08/03/2026,3,14748.3
D,08/03/2026,4,14887.0
D,08/03/2026,5,15346.85
D,08/03/2026,6,15758.47
D,08/03/2026,7,16633.31
